year,jurisdiction,positive_breath_tests,breath_tests_total,positivity_rate_pct
2008,ACT,1887,89354,2.1118
2008,NSW,27368,4204525,0.6509
2008,NT,9460,111662,8.472
2008,QLD,26975,2883056,0.9356
2008,SA,10467,661839,1.5815
2008,TAS,4563,678140,0.6729
2008,VIC,19190,3516900,0.5457
2008,WA,14532,661386,2.1972
2009,ACT,1628,88403,1.8416
2009,NSW,26595,4440862,0.5989
2009,NT,10990,159374,6.8957
2009,QLD,32696,3098664,1.0552
2009,SA,10954,716186,1.5295
2009,TAS,5120,613945,0.834
2009,VIC,18246,3641499,0.5011
2009,WA,13039,512595,2.5437
2010,ACT,1447,97612,1.4824
2010,NSW,24411,4637033,0.5264
2010,NT,10842,181626,5.9694
2010,QLD,33638,3199185,1.0515
2010,SA,10172,731645,1.3903
2010,TAS,3895,606991,0.6417
2010,VIC,16297,3864296,0.4217
2010,WA,11595,551911,2.1009
2011,ACT,1488,100217,1.4848
2011,NSW,22117,4520010,0.4893
2011,NT,8914,176358,5.0545
2011,QLD,27264,3369995,0.809
2011,SA,10034,604722,1.6593
2011,TAS,3527,559854,0.63
2011,VIC,13925,3513951,0.3963
2011,WA,10644,603484,1.7638
2012,ACT,1418,90817,1.5614
2012,NSW,19982,4735462,0.422
2012,NT,9332,167667,5.5658
2012,QLD,25320,3483717,0.7268
2012,SA,9267,542219,1.7091
2012,TAS,2916,550354,0.5298
2012,VIC,13033,3943320,0.3305
2012,WA,9737,736209,1.3226
2013,ACT,1399,129577,1.0797
2013,NSW,20193,5153136,0.3919
2013,NT,12395,156719,7.9091
2013,QLD,25291,3696689,0.6842
2013,SA,8890,525003,1.6933
2013,TAS,2782,551444,0.5045
2013,VIC,11442,3482898,0.3285
2013,WA,8636,897397,0.9623
2014,ACT,1267,147552,0.8587
2014,NSW,19531,5916338,0.3301
2014,NT,13562,175914,7.7094
2014,QLD,23023,3887768,0.5922
2014,SA,8154,554882,1.4695
2014,TAS,2585,475510,0.5436
2014,VIC,12062,3837417,0.3143
2014,WA,11034,1236194,0.8926
2015,ACT,1134,121416,0.934
2015,NSW,18750,6117884,0.3065
2015,NT,14192,181843,7.8045
2015,QLD,20357,3574901,0.5694
2015,SA,8208,563224,1.4573
2015,TAS,2327,469610,0.4955
2015,VIC,9315,3063830,0.304
2015,WA,10071,1579274,0.6377
2016,ACT,1005,116490,0.8627
2016,NSW,17442,4908582,0.3553
2016,NT,7571,171618,4.4115
2016,QLD,18673,3411115,0.5474
2016,SA,5155,529440,0.9737
2016,TAS,2322,512906,0.4527
2016,VIC,10337,3054233,0.3384
2016,WA,8912,1926480,0.4626
2017,ACT,1057,88929,1.1886
2017,NSW,18022,4898088,0.3679
2017,NT,7846,199016,3.9424
2017,QLD,16489,2766038,0.5961
2017,SA,6007,591574,1.0154
2017,TAS,2070,462344,0.4477
2017,VIC,9969,4230974,0.2356
2017,WA,9062,2549578,0.3554
2018,ACT,1114,89989,1.2379
2018,NSW,17989,5538320,0.3248
2018,NT,7672,143408,5.3498
2018,QLD,16773,2652739,0.6323
2018,SA,4997,519770,0.9614
2018,TAS,1723,450715,0.3823
2018,VIC,7025,3546342,0.1981
2018,WA,7550,2094996,0.3604
2019,ACT,933,90248,1.0338
2019,NSW,17084,6014549,0.284
2019,NT,7775,155950,4.9856
2019,QLD,16685,2663066,0.6265
2019,SA,4985,563324,0.8849
2019,TAS,1805,386687,0.4668
2019,VIC,9235,3238498,0.2852
2019,WA,6878,2135725,0.322
2020,ACT,888,39355,2.2564
2020,NSW,13540,2839850,0.4768
2020,NT,7362,103102,7.1405
2020,QLD,16060,1351230,1.1885
2020,SA,4400,402700,1.0926
2020,VIC,4976,1153190,0.4315
2020,WA,7510,1292819,0.5809
2021,ACT,767,16141,4.7519
2021,NSW,12980,2794704,0.4644
2021,NT,5492,81987,6.6986
2021,QLD,16402,1569648,1.0449
2021,SA,4062,480023,0.8462
2021,VIC,6363,1343080,0.4738
2021,WA,7417,1975362,0.3755
2022,ACT,847,35591,2.3798
2022,NSW,15794,3825522,0.4129
2022,NT,5120,65819,7.7789
2022,QLD,17007,1657920,1.0258
2022,SA,4556,554774,0.8212
2022,VIC,8280,2203908,0.3757
2022,WA,7331,2179499,0.3364
