year,amphetamine,cannabis,cocaine,ecstasy,methylamphetamine,other,unknown,positive_drug_tests,amphetamine_pct,cannabis_pct,cocaine_pct,ecstasy_pct,methylamphetamine_pct,other_pct,unknown_pct
2008,0,0,0,0,0,0,6,2413,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2009,0,0,0,0,0,0,6,2910,0.0,0.0,0.0,0.0,0.0,0.0,0.21
2010,0,0,0,0,0,0,5,4033,0.0,0.0,0.0,0.0,0.0,0.0,0.12
2011,0,0,0,0,0,0,6,5604,0.0,0.0,0.0,0.0,0.0,0.0,0.11
2012,0,0,0,0,0,0,7,8242,0.0,0.0,0.0,0.0,0.0,0.0,0.08
2013,0,0,0,0,0,0,8,9853,0.0,0.0,0.0,0.0,0.0,0.0,0.08
2014,0,0,0,0,0,0,8,16289,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2015,0,0,0,0,0,0,8,35143,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2016,0,0,0,0,0,0,8,38703,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2017,0,0,0,0,0,0,8,39855,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2018,0,0,0,0,0,0,8,48216,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2019,0,0,0,0,0,0,8,48466,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2020,0,0,0,0,0,0,8,46905,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021,0,0,0,0,0,0,8,49465,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2022,0,0,0,0,0,0,8,46868,0.0,0.0,0.0,0.0,0.0,0.0,0.02
